--- scanner 0 ---
553,-930,633
22,-14,-82
-758,-820,-811
-59,-179,30
772,571,-773
-732,400,410
497,-683,-734
542,-611,-585
-669,715,-400
669,487,755
-711,725,-368
-705,757,-586
-659,-847,-873
-704,-656,284
-712,396,445
606,-641,-637
-683,-527,419
661,-941,746
-630,-841,-885
717,-905,711
628,678,-750
-713,-686,353
451,494,795
549,586,823
753,664,-766
-664,260,405

--- scanner 1 ---
150,-21,80
560,608,-665
-497,800,859
-617,462,-426
-401,-827,-440
-410,-854,-403
-560,478,-546
680,-806,-412
415,664,-726
-472,639,846
443,525,-670
-651,-652,480
622,431,481
642,471,632
-769,-631,358
683,-753,-569
-562,682,885
695,-695,-508
443,-341,754
508,452,544
380,-323,830
-646,-594,447
-5,-7,-54
-594,504,-534
-313,-784,-330
604,-326,763

--- scanner 2 ---
-469,896,-801
-270,856,332
684,937,-791
561,801,432
-297,-463,534
-332,-476,543
106,55,-63
-289,-706,-490
871,-732,-578
608,-518,585
823,-671,-458
706,955,-608
-539,960,-658
626,835,369
-255,782,354
685,914,-601
-370,953,-662
-303,947,332
635,-463,661
555,-567,601
-364,-546,571
-389,-737,-641
759,796,369
-380,-817,-512
796,-656,-439

--- scanner 3 ---
-403,837,570
520,499,402
681,585,-445
378,-393,-561
-48,61,-139
639,551,-453
-610,310,-743
-499,-770,377
-607,-807,-598
-617,-888,-574
781,-575,750
-521,715,591
-787,-878,-611
626,-534,670
-675,336,-861
706,-572,591
595,353,438
774,472,-427
-526,748,533
-531,-676,374
306,-532,-484
-488,-775,511
577,455,446
366,-520,-404
-131,-74,32
-700,349,-700

--- scanner 4 ---
827,658,-478
-400,462,-639
-468,-727,-688
660,-747,-728
-357,371,-633
441,303,344
-509,-657,-722
10,30,-24
579,-916,427
-714,-767,612
716,-742,-721
672,-896,459
-332,549,642
671,-811,-572
-854,-720,687
72,-138,98
486,291,504
-439,-743,-647
-456,446,683
-79,-144,-74
574,-865,424
482,320,433
802,551,-459
-455,478,-664
849,419,-473
-796,-799,733
-449,564,676

--- scanner 5 ---
-69,40,-4
377,-478,-506
473,753,-868
531,-337,490
-445,493,829
-439,676,-606
528,780,635
-685,-811,-616
621,-376,533
708,851,622
-490,657,-470
358,-571,-499
-718,-578,780
-682,-921,-598
-437,518,-539
455,576,-795
-853,-499,806
-760,-612,788
-457,366,672
538,861,659
-385,505,749
-763,-898,-614
548,758,-801
22,-106,-130
596,-363,372
502,-464,-522

--- scanner 6 ---
-637,-865,-682
531,-843,650
-599,-697,-597
580,-787,654
-496,700,683
427,674,712
291,714,664
525,324,-451
518,364,-669
617,296,-549
-874,408,-717
545,-690,-354
-631,-521,526
613,-485,-369
573,-647,-344
-597,-863,-657
-552,-503,511
-655,766,713
-482,-425,563
431,709,732
-910,373,-661
-625,835,704
515,-698,536
13,-74,8
-899,486,-553
-133,47,113

--- scanner 7 ---
767,-409,453
754,912,-404
847,-482,-606
772,-472,651
678,826,-405
850,-380,-700
-547,-625,604
-685,399,416
806,-409,586
-529,-754,-809
-761,538,341
707,-447,-642
-41,77,-156
-531,461,-854
908,751,528
-596,-641,657
885,561,527
-539,450,-743
926,568,506
115,49,-30
630,811,-429
-700,418,389
-492,-701,577
-604,477,-853
-481,-684,-831
-606,-653,-736

--- scanner 8 ---
-854,-427,678
597,-385,-519
871,717,892
399,409,-257
466,412,-481
370,-714,620
25,85,21
-741,658,807
-646,-759,-614
685,-366,-385
-510,731,-635
-573,818,-576
749,738,774
344,-596,685
-624,-786,-610
-578,608,-652
-773,-451,688
-620,-764,-683
-844,-464,508
383,-553,595
-736,524,796
748,-345,-499
782,680,769
-642,521,764
475,427,-320

--- scanner 9 ---
330,658,617
-827,849,662
456,-398,589
451,-258,657
399,688,608
-674,-561,-329
568,713,-676
483,627,-650
-24,70,55
-625,-635,-473
-627,-643,-370
311,-520,-402
-765,822,563
-540,-755,616
465,529,638
-573,500,-636
-839,843,691
380,-465,-355
-593,524,-691
491,-394,609
430,743,-766
449,-549,-409
-322,-723,610
-354,-713,652
-601,424,-733

--- scanner 10 ---
545,-423,-683
596,662,724
-58,-67,16
-711,-661,734
427,544,-696
487,464,-592
-807,626,-582
-735,598,459
-805,470,-672
45,81,-106
-688,673,319
554,-388,-696
-625,-736,664
-407,-628,-414
510,-678,718
-566,-631,-489
-767,719,377
517,-455,-613
478,669,717
-695,-702,705
494,-653,773
581,628,841
-487,-669,-569
503,517,-641
-807,376,-543
403,-647,816

--- scanner 11 ---
533,435,363
77,-27,28
-659,811,-533
-657,402,575
445,759,-670
622,-693,-435
-775,-905,822
-758,868,-672
-739,-822,-693
-839,-791,-844
315,438,353
-748,-902,-822
-883,414,581
570,-639,-585
-589,875,-676
457,463,317
-735,-867,839
-718,382,630
879,-571,468
857,-506,360
562,-703,-647
-893,-856,825
410,630,-544
848,-449,499
-55,58,-78
313,738,-615

--- scanner 12 ---
-638,-396,685
-747,-475,-779
282,-738,410
366,645,357
-683,-457,589
519,655,-765
308,-801,442
-821,-531,-640
-857,345,750
349,661,-813
-632,-480,-659
431,732,-736
-907,502,726
274,597,416
-116,40,9
267,-816,-551
-499,566,-846
-7,-62,101
-499,496,-665
337,-845,-715
458,645,478
243,-807,-722
-706,-440,535
-506,645,-664
-828,542,774
360,-763,564

--- scanner 13 ---
430,-312,965
813,714,694
-792,494,-664
510,675,-491
-542,-631,556
843,-506,-572
902,837,657
-777,420,-686
840,-511,-682
506,-375,947
521,628,-626
-479,-690,643
497,-536,962
-705,741,850
-710,752,716
846,-382,-615
-547,-707,766
-358,-425,-315
-325,-436,-429
780,719,636
76,-4,164
-370,-458,-274
535,704,-599
-611,709,853
-744,329,-686

--- scanner 14 ---
646,686,557
794,-843,275
-743,-649,688
527,818,-730
754,763,461
776,-780,351
791,-619,342
-670,731,-449
-742,400,492
-872,371,379
-600,-719,-480
560,754,-556
-111,53,-167
-786,-773,691
8,112,-15
-445,-697,-525
605,729,557
472,-465,-634
-580,669,-591
-486,-730,-513
385,-524,-697
-834,478,522
465,839,-515
-691,573,-545
595,-448,-702
-853,-644,685

--- scanner 15 ---
-509,698,528
403,-769,738
-582,-732,324
561,-921,-734
537,-928,-744
-656,767,-707
385,509,428
-602,704,346
-592,-756,243
84,11,10
687,613,-384
-615,-511,-520
-527,771,351
-63,-62,-82
391,-926,611
-762,-719,253
775,561,-476
564,572,-511
-655,-432,-568
-689,644,-607
436,373,447
507,-894,-715
-667,595,-604
383,442,586
-812,-482,-544
331,-846,599

--- scanner 16 ---
-466,506,550
-390,564,502
-561,-665,415
-332,-874,-399
904,-880,-496
853,-883,-491
134,-117,36
-723,211,-497
-576,-631,532
-303,-803,-403
884,-848,-589
-340,637,535
656,736,-297
590,508,818
484,731,-358
-315,-963,-358
-710,393,-429
755,-695,797
-28,-75,175
-458,-624,539
-839,300,-506
708,-620,937
582,646,-319
787,-574,879
522,543,908
543,586,925

--- scanner 17 ---
-593,-517,-544
611,806,-502
-670,-513,390
-553,-436,361
-953,724,-810
720,-383,-726
573,-372,585
555,427,452
-594,-455,-710
-632,-406,-554
526,-325,730
578,555,557
-791,551,386
600,-386,-865
500,510,494
-683,400,384
-611,-498,288
464,-329,619
-774,426,334
-946,684,-875
548,-358,-653
-126,110,10
472,776,-535
-908,625,-877
568,874,-466

--- scanner 18 ---
-821,-595,507
422,-488,-712
620,-739,880
-802,-688,514
-107,66,80
581,817,395
-546,659,546
357,726,-639
-646,602,-686
610,823,407
-680,590,-660
-703,482,-702
-583,-803,-364
662,-749,912
-648,-829,-482
474,721,-556
656,-781,694
556,-576,-693
536,-425,-733
62,35,-50
709,796,469
-677,-702,530
-591,587,695
-655,617,643
329,782,-500
-558,-790,-525

--- scanner 19 ---
528,-537,489
-727,-770,-391
-606,-766,673
-666,637,501
-547,-868,658
-707,514,374
564,-662,-350
827,640,724
-655,426,466
-536,818,-596
800,694,705
-710,-822,-266
-467,765,-457
-489,-795,596
26,35,-4
834,664,734
637,-571,532
590,-426,485
-108,-80,89
752,870,-609
619,-704,-267
832,810,-621
642,-599,-395
-603,816,-438
-619,-772,-240
675,798,-748

--- scanner 20 ---
-671,435,-820
546,-344,-614
-714,695,650
-648,663,563
-714,-698,421
-514,-621,-945
673,527,808
-724,648,499
863,730,-812
-680,-744,490
826,-578,479
908,860,-846
-678,467,-695
-756,411,-714
767,-482,442
-8,81,-26
-571,-700,537
568,-317,-618
-610,-576,-884
59,-73,-109
922,-469,561
718,565,685
572,-339,-545
606,572,754
-664,-553,-901
815,789,-914

--- scanner 21 ---
-556,781,614
-525,-572,690
-408,-549,-772
776,-526,809
876,-375,778
-373,-675,-643
-276,-604,-751
833,658,548
795,-547,-881
626,-543,-888
895,447,-784
-585,-784,680
-533,-634,626
801,686,618
-632,830,645
-43,77,-13
-392,642,-529
785,-397,889
862,447,-875
-403,507,-576
696,-686,-824
868,649,535
-776,778,588
910,469,-710
113,-73,10
-417,534,-500

--- scanner 22 ---
-629,-395,593
543,-813,556
431,-744,563
-477,586,273
-641,-475,-530
592,-375,-616
476,-867,601
334,855,339
-128,-59,-179
241,787,268
265,836,-739
362,885,-655
-467,544,241
764,-453,-569
-10,59,-78
-555,-539,544
-435,550,459
340,850,-740
286,753,398
-796,543,-572
-932,591,-532
-792,523,-537
-547,-436,546
-670,-468,-392
527,-445,-515
-725,-421,-461

--- scanner 23 ---
-874,-814,-462
346,722,664
372,587,585
780,-727,800
-504,594,-566
-483,468,637
-436,551,-682
768,693,-632
-417,668,-663
-6,-138,-25
442,-607,-485
364,629,551
484,-630,-593
619,-752,787
-527,525,681
674,574,-710
-847,-823,-499
-672,-573,421
-614,-578,388
-651,-455,299
458,-664,-605
-519,543,783
-804,-911,-389
719,701,-750
662,-662,826

--- scanner 24 ---
278,393,-688
256,466,-692
264,-822,739
250,-887,531
408,-713,-338
-626,-837,-542
-921,694,-352
-948,451,356
-633,-906,-654
-850,762,-445
20,-112,-21
-645,-632,444
-643,-529,436
676,691,617
421,-594,-493
697,577,680
657,557,529
283,462,-714
-916,493,366
-596,-488,518
-791,660,-397
-588,-960,-587
517,-631,-434
-730,457,324
-174,28,-57
311,-824,493

--- scanner 25 ---
-55,-67,-152
280,784,-545
-880,363,671
-570,-335,-820
343,721,-577
709,-522,-558
-181,15,-19
256,645,-609
-466,403,-611
-750,390,569
-556,398,-767
-720,-464,527
689,-577,-619
236,-624,244
-436,443,-751
247,-713,250
677,-571,-393
-690,-459,490
282,-561,265
-671,-456,-795
-721,-432,661
-623,-326,-736
548,399,586
-892,361,555
529,426,646
458,340,608

--- scanner 26 ---
-378,373,836
905,463,-574
-585,599,-595
-462,531,-612
897,-556,655
610,265,548
-376,-925,798
79,-144,191
-292,-872,-585
-672,536,-536
-468,-804,798
-318,-840,-648
573,255,718
-284,-866,750
628,-597,-243
847,-532,498
-512,368,847
597,336,728
932,485,-570
910,489,-643
110,-27,16
-375,467,804
696,-747,-287
818,-508,695
-370,-718,-610
673,-693,-304

--- scanner 27 ---
-700,-871,449
627,417,-600
-484,625,-794
801,-541,711
-698,427,411
-725,-382,-740
801,-674,672
-405,663,-714
636,382,-587
816,340,658
-723,-476,-611
-564,422,400
-725,-632,-701
156,-97,-89
585,-523,-642
-608,-750,449
-10,21,29
738,-476,677
599,449,-670
509,-550,-587
838,388,823
838,355,732
-325,622,-869
569,-470,-691
-701,521,443
-792,-812,497

--- scanner 28 ---
594,-771,823
508,-330,-308
-122,-62,166
495,516,-707
413,563,-666
-933,-412,724
780,690,506
470,-391,-371
